Номер<br>ABCnet;Номер Заказа<br>(Дилер);Номер формы выхода;Модель;Версия Модели;Кузов;Цвет Кузова;Двигатель;Kоробка передач;Номер VIN;Версия;Дата заказа;Тип Тек. Рез.;Статус;Пользователь, создавший заказ;Пользователь, зарезервивавший заказ;Дата резервации до;Номер SIV;Отделка Салона;Опции 1;Опции 2;Опции 3;Опции 4;Опции 5;Опции 6;Опции 7;Опции 8;Опции 9;Опции 10;Опции 11;Опции 12;Опции 13;Опции 14;Опции 15;Опции 16;Опции 17;Опции 18;Опции 19;Опции 20;Опции 21;Опции 22;Опции 23;Опции 24;Опции 25;Опции 26;Опции 27;Опции 28;Опции 29;Опции 30;Дата Продажи;Сумма Счета;Номер Заказа Финального Клиента;Дилер;Номер Счета/Накл.;Местонахождение;Идентификационный Номер Покупателя;Тип Оплаты;Ожид.дата доставки;Место доставки;Дополнение;Тип Текущего Резервирования;Тип Предыдущего Резервирования;Год выпуска;Топливо;Комментарии;Subsidiary identification;Last Central DM Action;Dealer estimated delivery date;
280746;;323792;Боксер;FgTI 440 L4H2(120hp)/Irit22_base+el/11;FRG. EMP.RALLON H2 2;WPP0 / BLANC BANQUISE;2188 HDI P.22DTE+ (  Diesel);MANUAL 6-SPEED;VF3YEBMFC11836086;2PU97MHDG6099V;31/05/2010 10:55:46;SO (fixed);SOLD TO CLIENT;;itsa-ap-batch;;RC120186;VMFZ / GRIS 4;RK04;FX01;HC08;PE03;;;;;;;;;;;;;;;;;;;;;;;;;;;09/12/2010;;;3710;F-00317930;SOLD TO CLIENT;;;13/08/2010;3710-ООО "Леонар Авто";;SO (fixed);SO (Cancellable);2010;Diesel;;;;In Dealership;
280748;;323793;Боксер;FgTI 440 L4H2(120hp)/Irit22_base+el/11;FRG. EMP.RALLON H2 2;WPP0 / BLANC BANQUISE;2188 HDI P.22DTE+ (  Diesel);MANUAL 6-SPEED;VF3YEBMFC11836089;2PU97MHDG6099V;31/05/2010 10:55:46;SO (fixed);SOLD TO CLIENT;;itsa-ap-batch;;RC120153;VMFZ / GRIS 4;RK04;FX01;HC08;PE03;;;;;;;;;;;;;;;;;;;;;;;;;;;09/12/2010;;;3710;F-00317929;SOLD TO CLIENT;;;20/08/2010;3710-ООО "Леонар Авто";;SO (fixed);SO (Cancellable);2010;Diesel;;;;In Dealership;
50135386;;299101;308 T7;308 SKD 5D Premium 1.6 AT (120hp) e5;Hatchback 5 Doors;T8M0 / BLEU IPANEMA;EP6C 1598 4 CE INDIR (  Gasoline);AUTOMATIC 4-SPEED;Z8T4C5FS9AM011950;1PT7A5NCAL32BK;07/07/2010 19:25:41;SO (fixed);SOLD TO CLIENT;D737659;itsa-ap-batch;;RC129270;XWFX / NOIR;RP02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08/12/2010;;;3710;F-00307789;SOLD TO CLIENT;;Bank Guarantee (BG);15/10/2010;3710-ООО "Леонар Авто";;SO (fixed);SO (Cancellable);2010;Gasoline;;;;In Dealership;
50152716;;323552;308 T7;308 SKD 5D Confort Pack 1.6 AT (120hp) / 1PT7A5FAYL32BKC0/10;Hatchback 5 Doors;9VM0 / NOIR PERLA NERA;1598 ESS INJ D (  Gasoline);AUTOMATIC 4-SPEED;Z8T4C5FWFAM005712;1PT7A5FAYL32BKC0/10;05/05/2010 16:25:43;Final Customer Order;SOLD TO CLIENT;D668009;itsa-ap-batch;;RC117116;4PFX / NOIR;NA01;PR01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08/12/2010;;;3710;F-00314400;SOLD TO CLIENT;3710_7504602562;Bank Guarantee (BG);09/07/2010;3710-ООО "Леонар Авто";;Final Customer Order;;2010;Gasoline;;;;In Dealership;
50133333;;297030;308 T7;308 SKD 5D Confort Pack 1.6 AT (120hp) e5;Hatchback 5 Doors;VGM0 / METAL.VERNIS B VAPOR GREY;EP6C 1598 4 CE INDIR (  Gasoline);AUTOMATIC 4-SPEED;Z8T4C5FS9AM012267;1PT7A5FCAL32BK;06/07/2010 11:25:44;SO (fixed);SOLD TO CLIENT;D737659;itsa-ap-batch;;RC129261;4PFX / NOIR;LE05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08/12/2010;;;3710;F-00315273;SOLD TO CLIENT;;Bank Guarantee (BG);19/11/2010;3710-ООО "Леонар Авто";;SO (fixed);SO (Cancellable);2010;Gasoline;;;;In Dealership;
265525;;312461;Боксер;FgTI 440 L4H2(120hp)/04/Irit22_base+el/10;FRG. EMP.RALLON H2 2;WPP0 / BLANC BANQUISE;2188 HDI P.22DTE+ (  Diesel);MANUAL 6-SPEED;VF3YEBMFC11800447;2PU97MHDG609UL;09/04/2010 10:25:56;SO (fixed);SOLD TO CLIENT;;itsa-ap-batch;;RC112349;VMFZ / GRIS 4;FX01;HC08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08/12/2010;;;3710;F-00317784;SOLD TO CLIENT;;;11/06/2010;3710-ООО "Леонар Авто";;SO (fixed);;2010;Diesel;;;;In Dealership;
265527;;312462;Боксер;FgTI 440 L4H2(120hp)/04/Irit22_base+el/10;FRG. EMP.RALLON H2 2;WPP0 / BLANC BANQUISE;2188 HDI P.22DTE+ (  Diesel);MANUAL 6-SPEED;VF3YEBMFC11800728;2PU97MHDG609UL;09/04/2010 10:25:56;SO (fixed);SOLD TO CLIENT;;itsa-ap-batch;;RC112351;VMFZ / GRIS 4;FX01;HC08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08/12/2010;;;3710;F-00317785;SOLD TO CLIENT;;;18/06/2010;3710-ООО "Леонар Авто";;SO (fixed);;2010;Diesel;;;;In Dealership;
50135689;;299421;Партнер B9;Partner B9  VP2 Confort Pack 16E 90 hp / 1PB9AFGFJ532A011/10;Minivan;ZWM0 / GRIS FER;TU5JP4B   1587   ESS (  Gasoline);MANUAL 5-SPEED;VF37JNFRCAJ809958;1PB9AFGFJ532A011/10;07/07/2010 15:55:47;SO (fixed);SOLD TO CLIENT;D737659;itsa-ap-batch;;RC129550;YNFM / AMARANTE;WLKX;PQ02;RE01;;;;;;;;;;;;;;;;;;;;;;;;;;;;03/12/2010;;;3710;F-00312995;SOLD TO CLIENT;;Bank Guarantee (BG);26/11/2010;3710-ООО "Леонар Авто";;SO (fixed);SO (Cancellable);2010;Gasoline;;;;In Dealership;
50137456;;301603;Партнер M5;Partner VP XR 1.4 (karsan) / 1PM5GFTS1532A050/10;Van;WPP0 / BLANC BANQUISE;TU3A  1360CC  75HP  E (  Gasoline);MANUAL 5-SPEED;VF3GJKFWCAX510982;1PM5GFTS1532A050/10;14/04/2010 10:25:52;Final Customer Order;SOLD TO CLIENT;D737653;itsa-ap-batch;31/08/2010;CH554123;VHFZ / NOIR;PR01;RE01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03/12/2010;;;3710;F-00291220;SOLD TO CLIENT;3710_7600456987;Bank Guarantee (BG);13/08/2010;3710-ООО "Леонар Авто";;Final Customer Order;;2010;Gasoline;;;;In Dealership;
50142420;;309953;308 T7;308 SKD SPORTIUM 5D Premium 1.6 AT (120 hp);Hatchback 5 Doors;9VM0 / NOIR PERLA NERA;EP6C 1598 4 CE INDIR (  Gasoline);AUTOMATIC 4-SPEED;Z8T4C5FS9AM014654;1PT7A5NCAL32JU;08/09/2010 15:55:46;SO (fixed);SOLD TO CLIENT;D737659;itsa-ap-batch;;RC134478;XWFX / NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02/12/2010;;;3710;F-00313866;SOLD TO CLIENT;;Bank Guarantee (BG);12/11/2010;3710-ООО "Леонар Авто";;SO (fixed);SO (Cancellable);2010;Gasoline;;;;In Dealership;
50142327;;309860;308 T7;308 SKD 5D Confort Pack 1.6 MT5 (120hp) e5;Hatchback 5 Doors;WPP0 / BLANC BANQUISE;EP6C 1598 4 CE INDIR (  Gasoline);MANUAL 5-SPEED;Z8T4C5FS0AM015034;1PT7A5FCA532BK;08/09/2010 17:26:09;SO (fixed);SOLD TO CLIENT;D737659;itsa-ap-batch;;RC134463;4PFX / NOIR;LE05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30/11/2010;;;3710;F-00314221;SOLD TO CLIENT;;Bank Guarantee (BG);12/11/2010;3710-ООО "Леонар Авто";;SO (fixed);SO (Cancellable);2010;Gasoline;;;;In Dealership;
50138792;;303972;308 T7;308 BK Confort Pack 1.6 MT5 (120 hp / 1PT7C5FAY532A0C0/10;Break;VGM0 / METAL.VERNIS B VAPOR GREY;1598 ESS INJ D (  Gasoline);MANUAL 5-SPEED;VF34E5FWCAS184244;1PT7C5FAY532A0C0/10;05/05/2010 15:55:58;SO (fixed);SOLD TO CLIENT;D737653;itsa-ap-batch;;RC117408;4PFX / NOIR;PR01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30/11/2010;;;3710;F-00295523;SOLD TO CLIENT;;Bank Guarantee (BG);16/07/2010;3710-ООО "Леонар Авто";;SO (fixed);SO Request;2010;Gasoline;;;;In Dealership;
50142505;;310050;308 T7;308 SKD 5D Premium Pack 1.6 AT (120hp) e5;Hatchback 5 Doors;WPP0 / BLANC BANQUISE;EP6C 1598 4 CE INDIR (  Gasoline);AUTOMATIC 4-SPEED;Z8T4C5FS9AM014484;1PT7A5QCAL32BK;08/09/2010 15:55:57;SO (fixed);SOLD TO CLIENT;D737659;itsa-ap-batch;;RC134488;XWFX / NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30/11/2010;;;3710;F-00312809;SOLD TO CLIENT;;Bank Guarantee (BG);05/11/2010;3710-ООО "Леонар Авто";;SO (fixed);SO (Cancellable);2010;Gasoline;;;;In Dealership;
50135362;;299077;308 T7;308 SKD 5D Premium Pack 1.6 MT5 (120hp) e5;Hatchback 5 Doors;WPP0 / BLANC BANQUISE;EP6C 1598 4 CE INDIR (  Gasoline);MANUAL 5-SPEED;Z8T4C5FS0AM012490;1PT7A5QCA532BK;07/07/2010 15:55:56;SO (fixed);SOLD TO CLIENT;D737659;itsa-ap-batch;;RC129303;TTFQ / CRIOLLO;UF01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30/11/2010;;;3710;F-00310445;SOLD TO CLIENT;;Bank Guarantee (BG);22/10/2010;3710-ООО "Леонар Авто";;SO (fixed);SO (Cancellable);2010;Gasoline;;;;In Dealership;
50148716;;318108;308 T7;308 SKD 5D Confort Pack 1.6 MT5 (120hp) e5;Hatchback 5 Doors;9VM0 / NOIR PERLA NERA;EP6C 1598 4 CE INDIR (  Gasoline);MANUAL 5-SPEED;Z8T4C5FS0AM014313;1PT7A5FCA532BK;10/06/2010 15:55:56;SO (fixed);SOLD TO CLIENT;D737659;itsa-ap-batch;;RC125303;4PFX / NOIR;LE05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30/11/2010;;;3710;F-00312823;SOLD TO CLIENT;;Bank Guarantee (BG);05/11/2010;3710-ООО "Леонар Авто";;SO (fixed);SO (Cancellable);2010;Gasoline;;;;In Dealership;
50148715;;318107;308 T7;308 SKD 5D Confort Pack 1.6 MT5 (120hp) e5;Hatchback 5 Doors;ZRM0 / GRIS ALUMINIUM;EP6C 1598 4 CE INDIR (  Gasoline);MANUAL 5-SPEED;Z8T4C5FS0AM014133;1PT7A5FCA532BK;10/06/2010 15:26:00;SO (fixed);SOLD TO CLIENT;D737659;itsa-ap-batch;;RC125297;4PFX / NOIR;LE05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30/11/2010;;;3710;F-00313648;SOLD TO CLIENT;;Bank Guarantee (BG);12/11/2010;3710-ООО "Леонар Авто";;SO (fixed);SO (Cancellable);2010;Gasoline;;;;In Dealership;
50132397;;296085;Боксер;FgTl 335 L3H3(120hp) / 2PU95NHDG609A070 / 10;FOURGON TOLE;WPP0 / BLANC BANQUISE;2188 HDI P.22DTE+ (  Diesel);MANUAL 6-SPEED;VF3YCBMFC11870123;2PU95NHDG609A070 / 10;06/07/2010 15:25:59;SO (fixed);SOLD TO CLIENT;D737659;itsa-ap-batch;;RC129424;VMFZ / GRIS 4;JO01;RK04;WM06;NO02;PE03;SE08;;;;;;;;;;;;;;;;;;;;;;;;;30/11/2010;;;3710;F-00311708;SOLD TO CLIENT;;Bank Guarantee (BG);29/10/2010;3710-ООО "Леонар Авто";;SO (fixed);SO (Cancellable);2010;Diesel;;;;In Dealership;
265537;;312467;Боксер;FgTI 440 L4H2(120hp)/04/Irit22_base+el/10;FRG. EMP.RALLON H2 2;WPP0 / BLANC BANQUISE;2188 HDI P.22DTE+ (  Diesel);MANUAL 6-SPEED;VF3YEBMFC11800824;2PU97MHDG609UL;09/04/2010 14:55:54;SO (fixed);SOLD TO CLIENT;;itsa-ap-batch;;RC112357;VMFZ / GRIS 4;FX01;HC08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30/11/2010;;;3710;F-00316278;SOLD TO CLIENT;;;11/06/2010;3710-ООО "Леонар Авто";;SO (fixed);;2010;Diesel;;;;In Dealership;
50137461;;301608;Партнер M5;Partner VU 800 TOLE 1.4E (karsan) / 2PM5ZVTS1532A050/10;Van;ZWM0 / GRIS FER;TU3A  1360CC  75HP  E (  Gasoline);MANUAL 5-SPEED;VF3GCKFWCAX510897;2PM5ZVTS1532A050/10;14/04/2010 13:25:47;Final Customer Order;SOLD TO CLIENT;D737653;itsa-ap-batch;31/08/2010;CH554130;N0FZ / GRIS 4;WD05;PX06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30/11/2010;;;3710;F-00293610;SOLD TO CLIENT;3710_7502589633;Bank Guarantee (BG);27/08/2010;3710-ООО "Леонар Авто";;Final Customer Order;;2010;Gasoline;;;;In Dealership;
50149195;;319040;308 T7;308 SKD 5D Confort Pack 1.6 AT (120hp) e5;Hatchback 5 Doors;5SM0 / BLEU ABYSSE;EP6C 1598 4 CE INDIR (  Gasoline);AUTOMATIC 4-SPEED;Z8T4C5FS9AM008062;1PT7A5FCAL32BK;08/06/2010 12:55:51;SO (fixed);SOLD TO CLIENT;D737659;itsa-ap-batch;;RC121739;4PFX / NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30/11/2010;;;3710;F-00310079;SOLD TO CLIENT;;Bank Guarantee (BG);24/09/2010;3710-ООО "Леонар Авто";;SO (fixed);SO Request;2010;Gasoline;;;;In Dealership;
50149198;;319043;308 T7;308 SKD 5D Confort Pack 1.6 AT (120hp) e5;Hatchback 5 Doors;P9M5 / ROUGE BABYLONE;EP6C 1598 4 CE INDIR (  Gasoline);AUTOMATIC 4-SPEED;Z8T4C5FS9AM010447;1PT7A5FCAL32BK;08/06/2010 18:25:44;SO (fixed);SOLD TO CLIENT;D737659;itsa-ap-batch;;RC124464;4PFX / NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29/11/2010;;;3710;F-00310081;SOLD TO CLIENT;;Bank Guarantee (BG);01/10/2010;3710-ООО "Леонар Авто";;SO (fixed);SO Request;2010;Gasoline;;;;In Dealership;
50142459;;310004;308 T7;308 SKD SPORTIUM 5D Premium 1.6 AT (120 hp);Hatchback 5 Doors;9PM0 / GRIS SHARK;EP6C 1598 4 CE INDIR (  Gasoline);AUTOMATIC 4-SPEED;Z8T4C5FS9AM014952;1PT7A5NCAL32JU;08/09/2010 16:55:50;SO (fixed);SOLD TO CLIENT;D737659;itsa-ap-batch;;RC134483;XWFX / NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29/11/2010;;;3710;F-00314225;SOLD TO CLIENT;;Bank Guarantee (BG);12/11/2010;3710-ООО "Леонар Авто";;SO (fixed);SO (Cancellable);2010;Gasoline;;;;In Dealership;
50135685;;299417;Партнер B9;Partner B9  VP2 Confort Pack 16E 90 hp / 1PB9AFGFJ532A011/10;Minivan;WPP0 / BLANC BANQUISE;TU5JP4B   1587   ESS (  Gasoline);MANUAL 5-SPEED;VF37JNFRCAJ809979;1PB9AFGFJ532A011/10;07/07/2010 16:25:51;SO (fixed);SOLD TO CLIENT;D737659;itsa-ap-batch;;RC129548;YNFM / AMARANTE;WLKX;PQ02;RE01;;;;;;;;;;;;;;;;;;;;;;;;;;;;29/11/2010;;;3710;F-00312994;SOLD TO CLIENT;;Bank Guarantee (BG);26/11/2010;3710-ООО "Леонар Авто";;SO (fixed);SO (Cancellable);2010;Gasoline;;;;In Dealership;
50136520;;300262;207 A7;207 5D 200 ENVY 1.4 2-TRONIC (90hp) (Freemix);Hatchback 5 Doors;ZRM0 / GRIS ALUMINIUM;ET3J4 1360CC 90HP E (  Gasoline);2-TRONIC 5-SPEED;VF3WCKFUCAT088219;1PA7A5L1ZP32JT;08/07/2010 14:25:42;Final Customer Order;SOLD TO DEALER;D737659;itsa-ap-batch;;RC130963;GRIS 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;F-00314616;Dealer;3710_7500874512;Bank Guarantee (BG);22/10/2010;3710-ООО "Леонар Авто";;Final Customer Order;SO (Cancellable);2010;Gasoline;;;;In Dealership;
50143748;;311351;207 A7;207 5D ACTIVE 1.4 2-TRONIC (90hp) / 1PA7A5L1ZP32A070/10;Hatchback 5 Doors;5LM0 / BLEU MONTEBELLO;ET3J4 1360CC 90HP E (  Gasoline);2-TRONIC 5-SPEED;VF3WCKFUCAT087712;1PA7A5L1ZP32A070/10;09/09/2010 14:25:41;Final Customer Order;SOLD TO DEALER;D737659;itsa-ap-batch;;RC135585;4DFX / NOIR;PR01;WF05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3710;F-00314802;Dealer;3710_7500456951;Bank Guarantee (BG);22/10/2010;3710-ООО "Леонар Авто";;Final Customer Order;SO (Cancellable);2010;Gasoline;;;;In Dealership;
50135390;;299110;308 T7;308 SKD 5D Premium Pack 1.6 AT (120hp) e5;Hatchback 5 Doors;WPP0 / BLANC BANQUISE;EP6C 1598 4 CE INDIR (  Gasoline);AUTOMATIC 4-SPEED;Z8T4C5FS9AM011724;1PT7A5QCAL32BK;07/07/2010 13:55:53;SO (fixed);SOLD TO CLIENT;D737659;itsa-ap-batch;;RC129272;TTFQ / CRIOLLO;UB01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29/11/2010;;;3710;F-00308973;SOLD TO CLIENT;;Bank Guarantee (BG);22/10/2010;3710-ООО "Леонар Авто";;SO (fixed);SO (Cancellable);2010;Gasoline;;;;In Dealership;
50143742;;311345;207 A7;207 5D ACTIVE 1.4 2-TRONIC (90hp) / 1PA7A5L1ZP32A070/10;Hatchback 5 Doors;1NP0 / ROUGE ADEN;ET3J4 1360CC 90HP E (  Gasoline);2-TRONIC 5-SPEED;VF3WCKFUCAT087720;1PA7A5L1ZP32A070/10;09/09/2010 11:25:38;Final Customer Order;SOLD TO CLIENT;D737659;itsa-ap-batch;;RC135584;4DFX / NOIR;PR01;WF05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27/11/2010;;;3710;F-00313386;SOLD TO CLIENT;3710_7503148562;Bank Guarantee (BG);22/10/2010;3710-ООО "Леонар Авто";;Final Customer Order;SO (fixed);2010;Gasoline;;;;In Dealership;
50135687;;299419;Партнер B9;Partner B9  VP2 Confort Pack 16E 90 hp / 1PB9AFGFJ532A011/10;Minivan;T6M0 /  BLEU KYANOS;TU5JP4B   1587   ESS (  Gasoline);MANUAL 5-SPEED;VF37JNFRCAJ809933;1PB9AFGFJ532A011/10;07/07/2010 17:55:43;SO (fixed);SOLD TO CLIENT;D737659;itsa-ap-batch;;RC129549;YNFM / AMARANTE;PQ02;RE01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26/11/2010;;;3710;F-00311902;SOLD TO CLIENT;;Bank Guarantee (BG);19/11/2010;3710-ООО "Леонар Авто";;SO (fixed);SO (Cancellable);2010;Gasoline;;;;In Dealership;
50123146;;283512;308 T7;308 SKD 5D Premium Pack 1.6 AT (120hp) / 1PT7A5QAYL32BKC0/10;Hatchback 5 Doors;WPP0 / BLANC BANQUISE;1598 ESS INJ D (  Gasoline);AUTOMATIC 4-SPEED;Z8T4C5FWFAM007286;1PT7A5QAYL32BKC0/10;05/05/2010 15:55:54;Final Customer Order;SOLD TO CLIENT;D737653;itsa-ap-batch;;RC118643;XWFX / NOIR;UB01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26/11/2010;;;3710;F-00312191;SOLD TO CLIENT;3710_7508284688;Bank Guarantee (BG);29/10/2010;3710-ООО "Леонар Авто";;Final Customer Order;SO-FCO in production;2010;Gasoline;;;;In Dealership;
50143598;;311193;3008 TB;3008  Confort Pack 16E122 / C0;CROSS OVER 5 PORTES;9VM0 / NOIR PERLA NERA;EP6C 1598 4 CE INDIR (  Gasoline);MANUAL 5-SPEED;VF30U5FS0AS271040;1PTBSYDCA5329Q;09/09/2010 14:25:43;SO (fixed);SOLD TO CLIENT;D737653;itsa-ap-batch;;RC135659;TQFX / NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26/11/2010;;;3710;F-00313383;SOLD TO CLIENT;;Bank Guarantee (BG);05/11/2010;3710-ООО "Леонар Авто";;SO (fixed);SO (Cancellable);2010;Gasoline;;;;In Dealership;
50149196;;319041;308 T7;308 SKD 5D Confort Pack 1.6 AT (120hp) / 1PT7A5FAYL32BKC0/10;Hatchback 5 Doors;9PM0 / GRIS SHARK;1598 ESS INJ D (  Gasoline);AUTOMATIC 4-SPEED;Z8T4C5FWFAM006617;1PT7A5FAYL32BKC0/10;06/05/2010 12:25:45;SO (fixed);SOLD TO CLIENT;D737659;itsa-ap-batch;;RC119299;4PFX / NOIR;NA01;PR01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26/11/2010;;;3710;F-00310080;SOLD TO CLIENT;;Bank Guarantee (BG);16/07/2010;3710-ООО "Леонар Авто";;SO (fixed);SO Request;2010;Gasoline;;;;In Dealership;
265519;;312458;Боксер;FgTI 440 L4H2(120hp)/04/Irit22_base+el/10;FRG. EMP.RALLON H2 2;WPP0 / BLANC BANQUISE;2188 HDI P.22DTE+ (  Diesel);MANUAL 6-SPEED;VF3YEBMFC11803510;2PU97MHDG609UL;09/04/2010 12:25:44;SO (fixed);SOLD TO CLIENT;;itsa-ap-batch;;RC112345;VMFZ / GRIS 4;FX01;HC08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26/11/2010;;;3710;F-00315472;SOLD TO CLIENT;;;18/06/2010;3710-ООО "Леонар Авто";;SO (fixed);;2010;Diesel;;;;In Dealership;
50148583;;317839;308 T7;308 SKD 5D Premium 1.6 MT5 (120hp) e5;Hatchback 5 Doors;9VM0 / NOIR PERLA NERA;EP6C 1598 4 CE INDIR (  Gasoline);MANUAL 5-SPEED;Z8T4C5FS0AM014183;1PT7A5NCA532BK;10/06/2010 10:55:43;Final Customer Order;SOLD TO CLIENT;D737660;itsa-ap-batch;;RC125530;XWFX / NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25/11/2010;;;3710;F-00312860;SOLD TO CLIENT;3710_7599097519;Bank Guarantee (BG);05/11/2010;3710-ООО "Леонар Авто";;Final Customer Order;SO-FCO in production;2010;Gasoline;;;;In Dealership;
50135375;;299090;308 T7;308 SKD 5D Premium 1.6 AT (120hp) e5;Hatchback 5 Doors;9VM0 / NOIR PERLA NERA;EP6C 1598 4 CE INDIR (  Gasoline);AUTOMATIC 4-SPEED;Z8T4C5FS9AM010698;1PT7A5NCAL32BK;07/07/2010 11:26:13;SO (fixed);SOLD TO CLIENT;D737659;itsa-ap-batch;;RC129268;XWFX / NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24/11/2010;;;3710;F-00306299;SOLD TO CLIENT;;Bank Guarantee (BG);01/10/2010;3710-ООО "Леонар Авто";;SO (fixed);SO (Cancellable);2010;Gasoline;;;;In Dealership;
50135408;;299130;308 T7;308 SKD 5D Premium Pack 1.6 AT (120hp) e5;Hatchback 5 Doors;T8M0 / BLEU IPANEMA;EP6C 1598 4 CE INDIR (  Gasoline);AUTOMATIC 4-SPEED;Z8T4C5FS9AM012596;1PT7A5QCAL32BK;07/07/2010 18:55:41;SO (fixed);SOLD TO CLIENT;D737659;itsa-ap-batch;;RC129274;XWFX / NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23/11/2010;;;3710;F-00309602;SOLD TO CLIENT;;Bank Guarantee (BG);22/10/2010;3710-ООО "Леонар Авто";;SO (fixed);SO (Cancellable);2010;Gasoline;;;;In Dealership;
50149272;;319239;308 T7;308 SKD 5D Premium 1.6 MT5 (120hp) e5;Hatchback 5 Doors;5SM0 / BLEU ABYSSE;EP6C 1598 4 CE INDIR (  Gasoline);MANUAL 5-SPEED;Z8T4C5FS0AM012717;1PT7A5NCA532BK;06/07/2010 14:25:58;SO (fixed);SOLD TO CLIENT;D737659;itsa-ap-batch;;RC129793;XWFX / NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23/11/2010;;;3710;F-00310655;SOLD TO CLIENT;;Bank Guarantee (BG);22/10/2010;3710-ООО "Леонар Авто";;SO (fixed);SO Request;2010;Gasoline;;;;In Dealership;
50149274;;319241;308 T7;308 SKD 5D Premium 1.6 MT5 (120hp) e5;Hatchback 5 Doors;VGM0 / METAL.VERNIS B VAPOR GREY;EP6C 1598 4 CE INDIR (  Gasoline);MANUAL 5-SPEED;Z8T4C5FS0AM010137;1PT7A5NCA532BK;07/07/2010 18:25:34;SO (fixed);SOLD TO CLIENT;D737659;itsa-ap-batch;;RC129656;XWFX / NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21/11/2010;;;3710;F-00310657;SOLD TO CLIENT;;Bank Guarantee (BG);24/09/2010;3710-ООО "Леонар Авто";;SO (fixed);SO Request;2010;Gasoline;;;;In Dealership;
50149270;;319237;308 T7;308 SKD 5D Confort Pack 1.6 MT5 (120hp) e5;Hatchback 5 Doors;9PM0 / GRIS SHARK;EP6C 1598 4 CE INDIR (  Gasoline);MANUAL 5-SPEED;Z8T4C5FS0AM011215;1PT7A5FCA532BK;06/07/2010 10:25:44;SO (fixed);SOLD TO CLIENT;D737659;itsa-ap-batch;;RC126958;4PFX / NOIR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21/11/2010;;;3710;F-00310653;SOLD TO CLIENT;;Bank Guarantee (BG);08/10/2010;3710-ООО "Леонар Авто";;SO (fixed);SO Request;2010;Gasoline;;;;In Dealership;
50133308;;297005;308 T7;308 SKD 5D Confort Pack 1.6 AT (120hp) e5;Hatchback 5 Doors;9VM0 / NOIR PERLA NERA;EP6C 1598 4 CE INDIR (  Gasoline);AUTOMATIC 4-SPEED;Z8T4C5FS9AM012279;1PT7A5FCAL32BK;06/07/2010 19:25:39;SO (fixed);SOLD TO CLIENT;D737659;itsa-ap-batch;;RC129283;4PFX / NOIR;LE05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19/11/2010;;;3710;F-00308275;SOLD TO CLIENT;;Bank Guarantee (BG);15/10/2010;3710-ООО "Леонар Авто";;SO (fixed);SO (Cancellable);2010;Gasoline;;;;In Dealership;
50137600;;301873;308 T7;308 BK Confort Pack 1.6 MT5 (120 hp / 1PT7C5FAY532A0C0/10;Break;WPP0 / BLANC BANQUISE;1598 ESS INJ D (  Gasoline);MANUAL 5-SPEED;VF34E5FWCAS182739;1PT7C5FAY532A0C0/10;05/05/2010 18:55:39;Final Customer Order;SOLD TO CLIENT;D737653;itsa-ap-batch;;RC116473;4PFX / NOIR;PR01;NA01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19/11/2010;;;3710;F-00291959;SOLD TO CLIENT;3710_7500123654;Bank Guarantee (BG);09/07/2010;3710-ООО "Леонар Авто";;Final Customer Order;;2010;Gasoline;;;;In Dealership;
